"COMID"	"QC_04"	"QC_05"	"QC_08"	"QC_MA"	"SLOPE"	"bfiws"	"elevws"	"na2ows"	"sio2ws"	"k2ows"	"fe2o3ws"	"p2o5ws"	"al2o3ws"	"caows"	"mgows"	"sws"	"nws"	"hydrlcondws"	"compstrgthws"	"wetindexws"	"kffactws"	"pctcarbresidws"	"pctglactilloamws"	"pcteolfinews"	"pctglactilcrsws"	"pctcolluvsedws"	"pcthydricws"	"pcteolcrsws"	"pctglaclakecrsws"	"pctglactilclayws"	"pctalluvcoastws"	"pctsilicicws"	"pctcoastcrsws"	"pctnoncarbresidws"	"runoffws"	"clayws"	"sandws"	"rckdepws"	"omws"	"wtdepws"	"permws"	"precip9120ws"	"tmax9120ws"	"tmean9120ws"	"tmin9120ws"	"wsareasqkmws"
8074152	-0.20481541031688	-0.249491605147882	-0.524328811674118	-0.407823242603022	-4.99999995657055	54.6	2.65390839519502	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	970.9919	0.2617	0	0	0	0	0	0	0	0	0	100	0	0	0	436.0069	17.5690158282573	46.7344712348684	11354.5571797782	0.290625851907084	125.07363813101	15.4729954729201	1197.42266548845	18.5734571203905	86.8737799387446	7.86496426425113	2.21356397303247
8074186	1.13187518797262	0.982180745596448	0.621902960891334	0.934346926738306	-4.99999995657055	54.274	2.38555054048839	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	935.2065	0.3095	0	0	0	0	0	0	0	0	0	100	0	0	0	434	20.868963041488	39.0212287380138	11456.2272167357	0.360972854301755	103.643506480991	13.9468226280538	1196.80268709699	18.5403396062575	87.001501268105	7.91813464163412	1.27132339551254
8075750	1.85436677804088	1.64646254316314	1.23804610312882	1.66607784724607	-4.99999995657055	56.7826	3.08135644721047	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	985.8851	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.9646187743111	56.9260530061928	11331.4217653666	-0.930700562395983	138.599482087969	15.075173498717	1196.68813051534	18.617933650808	87.3317210598823	7.89012855071796	1.99677470839331
8075734	1.80102619691121	1.59793639364175	1.19226071864207	1.61277326404223	-4.73282824812161	56.7434	3.11971601156411	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	988.5605	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	15.0180916696607	57.0669385618231	11345.057342543	-0.922066833028583	135.768627008161	14.9807047169327	1196.93917632961	18.6231707355708	87.2126775504928	7.86693758317682	1.9428683443021
8075738	-1.45593195563732	-1.39794000866118	-1.60205999131059	-1.65757731915805	-4.99999995657055	59	0.783567320384752	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	916.6538	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.56	55.86	11228.5098000002	-0.998624939458	160.02	15.79	1194.04360727308	18.48695065425	89.0102826094513	8.27190237778846	-1.3297541469166
8075744	1.85264465274155	1.64490119652711	1.23656245185339	1.66436928087081	-4.99999995657055	56.7738	3.08533603316502	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	986.095	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.9662394741873	56.9303230798642	11331.8349230148	-0.930437749415334	138.513682236525	15.0723102622691	1196.69873003061	18.6185599631446	87.3248037996204	7.88846139573428	1.99503861715504
8075740	0.881726935376475	0.748962861256239	0.406199423663483	0.686725621074632	-4.99999995657055	56.9403	2.82981378190934	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	969.7298	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.56	55.86	11228.5098000002	-0.998624939458	160.02	15.79	1194.89709138086	18.5928487098331	88.1366744111078	8.03617185081186	1.01742569740694
8075736	1.84962207821275	1.64214783479785	1.2339601384948	1.66136775529118	-4.99999995657055	56.7649	3.09063411909185	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	986.5327	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.9691071608651	56.9378786017474	11332.5659877901	-0.929972899396697	138.361866903804	15.0672440158051	1196.71968507044	18.6198061428052	87.3121396193052	7.88529196571879	1.99198365725978
8075772	0.341038631677721	0.252124552505887	-0.0570004066334643	0.143327129992359	-2.85454253578593	56.4082	3.04401661847376	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	960.916	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.56	55.86	11228.5098000002	-0.998624939458	160.02	15.79	1197.85538237281	18.6594033106694	87.7633295789951	7.91341720553521	0.472361456582624
8075660	1.41103014679711	1.24538927117124	0.859078224747029	1.22352189921125	-2.8482288347317	56.7918	3.23153571981021	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	951.521	0.2531	0	0	0	0	0	0	0	0	0	100	0	0	0	437.4598	14.6755692354461	56.4904038101029	11320.7206633605	-0.977586570503309	146.442045143639	15.2968513451892	1198.64114628062	18.643541431154	86.4021309451376	7.72349150646979	1.55055364622017
8075656	1.44468483031649	1.27586395071254	0.887335930399223	1.25681392458092	-4.99999995657055	56.7463	3.2047537547265	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	950.6313	0.2529	0	0	0	0	0	0	0	0	0	100	0	0	0	437.2043	14.6670359681847	56.4438567842144	11313.8992117529	-0.979124833550611	147.44459843739	15.3332638840008	1198.54209272287	18.6432125721396	86.4488032317721	7.73093975892882	1.58386614462012
8075654	0.317018101048321	0.234010817587433	-0.0846001647872025	0.117271295656096	-4.99999995657055	56.1504	2.84407567311078	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	937.8591	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.56	55.86	11228.5098000002	-0.998624939458	160.02	15.79	1197.30664541563	18.6384079959843	87.022745986694	7.82311660811969	0.439679990515784
8075652	1.52769433147482	1.35171902342288	0.957798774930046	1.33970975477985	-2.90679551603322	56.7882	3.1575320253041	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	943.5353	0.2524	0	0	0	0	0	0	0	0	0	100	0	0	0	436.6472	14.6484241742906	56.3423336951465	11299.0281673243	-0.982488224760668	149.63125387657	15.412682780276	1198.31212100541	18.6431982073247	86.5376964748358	7.7444043787032	1.66682487336862
8075676	1.32570034291601	1.16705135873791	0.786325434390141	1.13808154649578	-4.99999995657055	56.8705	3.29875195649896	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	951.4001	0.2538	0	0	0	0	0	0	0	0	0	100	0	0	0	438.2136	14.7007497223251	56.6277576206343	11340.8618030951	-0.973061258625084	143.483649574232	15.1894029988893	1198.86280556322	18.6424689784898	86.288588549601	7.70740721081053	1.46494833967442
8075682	1.26266462467628	1.10893692358829	0.732474177281274	1.07477988233197	-3.52658602527896	56.8711	3.33123498538409	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	952.6436	0.2544	0	0	0	0	0	0	0	0	0	100	0	0	0	438.8765	14.7228929515104	56.7485428122545	11358.5883204365	-0.969098841701575	140.882094194101	15.0949150182104	1198.97969877783	18.6423950768125	86.2411435247094	7.70034140705777	1.4014935939152
8075678	0.334855689617492	0.258158193341034	-0.0619809025232888	0.142702245737928	-2.4669502482689	56.8194	3.18231517934722	2.2399	2532.92432562007	2.3807200450024	0.522908589025029	0.1994	12.0112	0.507442652398285	0.177113416676821	-1.91678470065067	0.2787	1.96686274025255	-1.16817820127639	949.1892	0.25	0	0	0	0	0	0	0	0	0	100	0	0	0	434	14.56	55.8600092279299	11228.5098000002	-0.998624939458	160.02	15.79	1198.33480860443	18.6380582613965	86.4365793543455	7.73434412071393	0.4662594789356
